episode,score
10,-110.23470465514899
11,-99.79645054419306
12,-126.96190521016625
13,-145.1785128976382
14,-104.07223475725621
15,-115.51990479428935
16,-121.89401543392783
17,-101.55811828293544
18,-99.89300219319254
19,-104.98346411872812
20,-106.23650016517124
21,-103.84864901668085
22,-121.26231449909034
23,-111.10637092719374
24,-114.66147317025639
25,-109.04674660607814
26,-106.12839938371035
27,-127.84833024115571
28,-112.4956240406665
29,-107.88297384519461
30,-99.92317202252215
31,-125.0179119318615
32,-100.36371986921576
33,-110.05038883724445
34,-132.021171753202
35,-133.880572424944
36,-100.11141411138209
37,-122.84088047947732
38,-103.55589092614429
39,-121.33897605525831
40,-230.96539978320874
41,-124.41352611894291
42,-119.04664112562759
43,-115.88990889360397
44,-116.13402150126659
45,-153.34740936961384
46,-107.6970551122332
47,-103.65690659839511
48,-107.19409725924586
49,-95.42425468958133
50,-103.23654880642972
51,-106.54915425148904
52,-114.40587754233572
53,-117.05561482745843
54,-113.98186717139261
55,-107.9192592421826
56,-100.75576811566108
57,-101.08801850037774
58,-132.08337249626365
59,-108.36035750377272
60,-111.05887943139943
61,-121.58251865927255
62,-141.45334827651286
63,-114.22801798708173
64,-119.39000501374326
65,-132.97221690919855
66,-123.59944656251093
67,-101.49795907883284
68,-103.72652107741114
69,-98.53701366942036
70,-100.89222275623676
71,-143.13936392812377
72,-101.36843625940055
73,-100.09964251577696
74,-98.95479499937969
75,-104.2556218599781
